Law_Firm,Wins,Losses,Win_Rate,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Law_Firm(from_text),Cases
"dodd lewis, blackheath",1,0,100.0,0,0,1,"dodd lewis, blackheath","{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1056.html""]}"
dollman & pritchard,1,0,100.0,0,1,0,dollman & pritchard,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/411.html""]}"
dolmans solicitors,0,2,0.0,0,1,1,dolmans solicitors,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1102.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/80.html""]}"
"donaghey, high street, gillingham, me71be",0,1,0.0,0,1,0,"donaghey, high street, gillingham, me71be","{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/3049.html""]}"
dorr,2,1,66.67,0,1,2,"dorr, dorr llp","{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1478.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/472.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/37.html""]}"
dorset police,1,0,100.0,0,0,1,dorset police,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/191.html""]}"
dorsey & whitney (europe) llp,0,2,0.0,0,2,0,dorsey & whitney (europe) llp,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1142.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1451.html""]}"
dotcom solicitors,0,2,0.0,0,2,0,"dotcom solicitors, dotcom solicitors ltd","{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1610.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/229.html""]}"
douglas wemyss solicitors llp,1,0,100.0,0,1,0,douglas wemyss solicitors llp,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/27.html""]}"
douglas-jones & mercer,1,0,100.0,0,0,1,douglas-jones & mercer,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/782.html""]}"
dover district council legal services,0,1,0.0,0,0,1,dover district council legal services,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/936.html""]}"
doyle clayton,0,3,0.0,0,3,0,"doyle clayton, doyle clayton solicitors","{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/592.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1031.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/979.html""]}"
dpa,1,0,100.0,0,0,1,dpa,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2967.html""]}"
dph legal,0,1,0.0,0,1,0,dph legal,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/822.html""]}"
druces llp,1,4,20.0,0,2,3,"druces llp, druces solicitors","{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/20.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1830.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1660.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1021.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/926.html""]}"
drukker solicitors,0,1,0.0,0,1,0,drukker solicitors,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/183.html""]}"
drydensfairfax,1,0,100.0,0,0,1,drydensfairfax,"{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/687.html""]}"
dtm legal,0,2,0.0,0,0,2,dtm legal,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/113.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/984.html""]}"
duane morris,1,2,33.33,0,0,3,duane morris,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1262.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1100.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1705.html""]}"
dudley metropolitan borough council (law,1,0,100.0,0,0,1,dudley metropolitan borough council (law,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1246.html""]}"
duffield harrison llp,0,0,,1,0,0,duffield harrison llp,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/404.html""]}"
duncan lewis,18,52,25.71,0,55,15,"duncan lewis, duncan lewis & co, duncan lewis & co. solicitors, duncan lewis llp, duncan lewis solicitors, duncan lewis solicitors & appleby shaw solicitors","{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1050.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1114.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1195.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/168.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/637.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/662.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/831.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/866.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/870.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1035.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1037.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1375.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/307.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/312.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/384.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/415.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/629.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/14.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/150.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1669.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1871.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2710.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/48.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/961.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1059.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/215.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/845.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1168.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1544.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1954.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/207.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/456.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/784.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1213.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1422.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1458.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/146.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1711.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/379.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/445.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/657.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1038.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1196.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1676.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1875.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1890.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/541.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1075.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1296.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1392.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1512.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/495.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/791.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/809.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/840.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/977.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/26.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/266.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/439.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/745.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/764.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1546.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/314.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/66.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/11.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/21.html""]}"
dutton gregory llp,0,1,0.0,0,0,1,dutton gregory llp,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/453.html""]}"
duval vassiliades,1,2,33.33,0,3,0,"duval vassiliades, duval vassiliades solicitors","{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2298.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/789.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/365.html""]}"
dwf,24,38,38.71,2,28,34,"dfw law llp, dwf, dwf costs ltd, dwf law, dwf law llp, dwf liverpool, dwf llp, dwf llp in hxa appeal, dwf ltd, dwf solicitors, dwp legal advisers, gld","{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1374.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1400.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1541.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1716.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/869.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1005.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1135.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/904.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/970.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/978.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/995.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1196.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/17.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/229.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/234.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/616.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/66.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/927.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1412.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/529.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/656.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/729.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/996.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1026.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1110.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/138.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1453.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1461.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1479.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/158.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/175.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/297.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/765.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/13.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/755.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1147.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/380.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/540.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/708.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/746.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/92.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1109.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/128.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1308.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/148.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/483.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/491.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/544.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/551.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/604.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1482.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/17.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1873.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/193.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/434.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1099.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1126.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/190.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2232.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2339.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2640.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/317.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/555.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/815.html""]}"
dyer,0,1,0.0,0,0,1,dyer,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/22.html""]}"
dylan conrad kreolle solicitors,3,0,100.0,0,3,0,"dylan conrad kreolle solicitors, dylan conrad kroelle solicitors","{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/329.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/268.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1143.html""]}"
e j winter & son llp,1,0,100.0,1,0,1,"e j winter & son llp, ej winter & son llp","{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/13.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2520.html""]}"
e. rex makin & co solicitors,0,1,0.0,0,0,1,e. rex makin & co solicitors,"{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/861.html""]}"
ead solicitors llp,1,2,33.33,0,1,2,ead solicitors llp,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/399.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/399.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/79.html""]}"
ealing law centre,0,1,0.0,0,1,0,ealing law centre,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/801.html""]}"
ealing legal,1,0,100.0,0,0,1,ealing legal,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/540.html""]}"
east midlands police legal services,1,2,33.33,0,1,2,"east midlands police legal services, east midlands police legal services unit","{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/900.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/676.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/34.html""]}"
east riding of yorkshire council,1,0,100.0,0,0,1,east riding of yorkshire council,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1643.html""]}"
east suffolk council,0,1,0.0,0,0,1,east suffolk council,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1716.html""]}"
eastleigh borough council,1,0,100.0,0,0,1,eastleigh borough council,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1808.html""]}"
eatons solicitors,0,1,0.0,0,0,1,eatons solicitors,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/189.html""]}"
ebery williams,2,3,40.0,0,5,0,"ebery williams, ebery williams limited, ebery williams solicitors","{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/324.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/516.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/167.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1446.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/816.html""]}"
edesia law,0,1,0.0,0,0,1,edesia law,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/45.html""]}"
edmonds marshall mcmahon,0,2,0.0,0,1,1,edmonds marshall mcmahon,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/25.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/899.html""]}"
edward hands & lewis solicitors,1,1,50.0,0,0,2,"edward hands & lewis solicitors, ehl commercial law","{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2416.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/27.html""]}"
edward hart solicitors,2,2,50.0,0,1,3,"edward hart solicitors, edward harte (brighton) ltd, edward harte llp, edward hayes solicitors llp","{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/936.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/297.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/553.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/334.html""]}"
edward oliver & bellis solicitors,0,1,0.0,0,1,0,edward oliver & bellis solicitors,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/334.html""]}"
edwards duthie,1,11,8.33,1,5,7,"edwards duthie, edwards duthie shamash, edwards duthie shamash solicitors, edwards duthie solicitors","{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1586.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/620.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1150.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1835.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/512.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/992.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/22.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/92.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/405.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/274.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1624.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1062.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/127.html""]}"
edwin coe llp,7,6,53.85,0,6,7,edwin coe llp,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/342.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/989.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1193.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/429.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/2000.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/37.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/808.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/308.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/590.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/910.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1470.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1508.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/20.html""]}"
eh dawson solicitors,0,1,0.0,0,1,0,eh dawson solicitors,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/360.html""]}"
eip,6,2,75.0,0,2,6,"eip, eip europe llp, eip legal","{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/440.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1411.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/193.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/43.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/45.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2344.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/266.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/38.html""]}"
elborne mitchell llp,0,1,0.0,0,1,0,elborne mitchell llp,"{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/821.html""]}"
elder rahimi,0,1,0.0,0,1,0,elder rahimi,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1284.html""]}"
eldwick law,0,2,0.0,0,2,0,eldwick law,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1095.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/81.html""]}"
elliot mather llp solicitors,1,0,100.0,0,1,0,elliot mather llp solicitors,"{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/447.html""]}"
ellis international llp,2,1,66.67,0,1,2,ellis international llp,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/373.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/451.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/637.html""]}"
ellisons solicitors,0,1,0.0,0,0,1,ellisons solicitors,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/610.html""]}"
elms legal ltd,0,1,0.0,0,0,1,elms legal ltd,"{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/713.html""]}"
els law ltd,0,1,0.0,0,0,1,els law ltd,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1619.html""]}"
else solicitors llp,1,0,100.0,0,1,0,else solicitors llp,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/38.html""]}"
emery llp,1,0,100.0,0,1,0,emery llp,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/74.html""]}"
emg solicitors,1,0,100.0,0,0,1,emg solicitors,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1579.html""]}"
"emmanuelle raoult, eu legis",1,0,100.0,0,1,0,"emmanuelle raoult, eu legis","{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/803.html""]}"
emw law llp,3,2,60.0,0,1,4,emw law llp,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2175.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/793.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/261.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/15.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1026.html""]}"
enable law,1,2,33.33,0,1,2,enable law,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/585.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/735.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/31.html""]}"
endeavour partnership llp,1,1,50.0,0,2,0,endeavour partnership llp,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/19.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1135.html""]}"
energiekontor (uk) limited,0,1,0.0,0,0,1,energiekontor (uk) limited,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1868.html""]}"
enigma solicitors,0,1,0.0,0,1,0,enigma solicitors,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1233.html""]}"
environment agency,6,3,66.67,1,4,5,"environment agency, environment agency legal services, environmental law foundation","{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/564.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/157.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1962.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/213.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/378.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1149.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1289.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/876.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1143.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/26.html""]}"
