Law_Firm,Wins,Losses,Win_Rate,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Law_Firm(from_text),Cases
field seymour parkes llp,0,1,0.0,0,0,1,field seymour parkes llp,"{""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1487.html"", ""role"": ""respondents/claimants"", ""outcome"": ""granted"", ""result"": ""Loss""}]}"
financial conduct authority,7,2,77.78,2,4,5,"fca, fca legal department, financial conduct authority, legal division, financial conduct authority","{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/192.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/490.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/187.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/71.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/524.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1206.html"", ""role"": ""claimant/respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/474.html"", ""role"": ""intervener"", ""outcome"": ""granted"", ""result"": ""Neutral""}], ""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1125.html"", ""role"": ""appellant/cross-respondent"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1575.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/541.html"", ""role"": ""second interested party"", ""outcome"": ""dismissed"", ""result"": ""Neutral""}], ""2022"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/397.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}]}"
financial ombudsman service,3,0,100.0,0,0,3,"financial ombudsman service, financial ombudsman service ltd, financial ombudsman services limited","{""2025"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/551.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/541.html"", ""role"": ""defendant/respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1049.html"", ""role"": ""first respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
finsbury law solicitors,0,1,0.0,0,1,0,finsbury law solicitors,"{""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/582.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
fish legal,1,1,50.0,0,1,1,fish legal,"{""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/797.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2025"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/378.html"", ""role"": ""first respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
fisher jones greenwood llp,0,1,0.0,0,1,0,fisher jones greenwood llp,"{""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1389.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
fisher meredith,0,2,0.0,0,2,0,"fisher meredith, fisher meredith llp","{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/95.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/80.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
fitz solicitors,1,1,50.0,0,1,1,fitz solicitors,"{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1032.html"", ""role"": ""applicant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1311.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
fladgate llp,3,5,37.5,0,3,5,fladgate llp,"{""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/569.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/68.html"", ""role"": ""second respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}], ""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/27.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}], ""2020"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1704.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/641.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1142.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/549.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/507.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
fletcher day limited,0,2,0.0,0,2,0,fletcher day limited,"{""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/304.html"", ""role"": ""applicant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/413.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
fletcher dervish solicitors,0,1,0.0,0,0,1,fletcher dervish solicitors,"{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/466.html"", ""role"": ""respondent father"", ""outcome"": ""granted"", ""result"": ""Loss""}]}"
fletchers solicitors,1,0,100.0,0,0,1,just costs solicitors as agents for fletchers solicitors,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1941.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
flint bishop llp,0,2,0.0,0,1,1,"flint bishop llp, flint bishop solicitors","{""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2494.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1230.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}]}"
folkestone,1,0,100.0,0,0,1,folkestone,"{""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/896.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
food standards agency,1,1,50.0,0,1,1,"food standards agency, fsa legal","{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/400.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/431.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
foot anstey llp,2,1,66.67,0,1,2,foot anstey llp,"{""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/344.html"", ""role"": ""appellants"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/145.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}], ""2022"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1667.html"", ""role"": ""seventh respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
for nottinghamshire police,1,0,100.0,0,0,1,for nottinghamshire police,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/191.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
for staffordshire police,1,0,100.0,0,0,1,for staffordshire police,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/191.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
forbes hall llp,2,3,40.0,0,5,0,forbes hall llp,"{""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/436.html"", ""role"": ""appellants"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/663.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1512.html"", ""role"": ""appellants"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/952.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/485.html"", ""role"": ""first and second appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
forbes solicitors,2,0,100.0,0,0,2,forbes solicitors,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1629.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2020"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/696.html"", ""role"": ""defendant"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
force legal department,2,1,66.67,0,0,3,"force legal department, force solicitor, force solicitor for north wales police","{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1838.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/191.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/836.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
ford & warren,0,2,0.0,0,1,1,"ford & warren, ford & warren solicitors","{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1049.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/206.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
forest of dean district council legal services,2,1,66.67,0,1,2,"forest of dean district council legal services, forest of dean legal services, helen blundell, solicitor forest of dean district council","{""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1610.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2102.html"", ""role"": ""first appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/683.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
forster dean solicitors,1,0,100.0,0,1,0,forster dean solicitors,"{""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1220.html"", ""role"": ""appellants"", ""outcome"": ""granted"", ""result"": ""Win""}]}"
forsters llp,4,3,57.14,0,5,2,forsters llp,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/267.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/846.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/840.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1600.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1848.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2020"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/104.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2022"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1681.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
fortitude law,0,1,0.0,0,1,0,fortitude law,"{""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1924.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
fortune green legal practice,0,2,0.0,0,2,0,fortune green legal practice,"{""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/784.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2022"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/983.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
fox and partners solicitors llp,0,1,0.0,0,1,0,fox and partners solicitors llp,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1197.html"", ""role"": ""claimants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
fox williams llp,4,4,50.0,0,3,5,fox williams llp,"{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1526.html"", ""role"": ""applicant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/237.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2487.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/518.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1710.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}], ""2020"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1726.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/559.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/6.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
francine morris,0,1,0.0,0,0,0,francine morris,"{""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1405.html"", ""role"": ""equality and human rights commission, intervening by way of written submissions only."", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
francis wilks & jones,0,2,0.0,0,1,1,francis wilks & jones,"{""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/2146.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/417.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}]}"
fraser brown solicitors,0,1,0.0,0,1,0,fraser brown solicitors,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/372.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
free representation unit,0,1,0.0,0,1,0,declan owens for free representation unit,"{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/209.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
freedman alexander llp,1,2,33.33,0,3,0,freedman alexander llp,"{""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1587.html"", ""role"": ""first and second appellants; stephen simblet"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1699.html"", ""role"": ""first and second appellants; stephen simblet"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/49.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
freeman harris,0,1,0.0,0,1,0,freeman harris,"{""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/436.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
freeman solicitors,3,1,75.0,0,3,1,"freeman solicitors, freeman solicitors ltd, freemans solicitors","{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2445.html"", ""role"": ""applicant"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/245.html"", ""role"": ""applicant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/44.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/739.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
freeths llp,6,5,54.55,0,7,4,"freeth llp, freeths, freeths llp","{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/62.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2744.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/844.html"", ""role"": ""3rd respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1341.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1354.html"", ""role"": ""claimants"", ""outcome"": ""granted"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/476.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/178.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/254.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2025"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/53.html"", ""role"": ""appellants in appeal 2289"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/389.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}], ""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1149.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}]}"
french & co,2,1,66.67,0,1,2,"french & co, french & co solicitors, french & company solicitors","{""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/252.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1125.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/965.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
