Law_Firm,Wins,Losses,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Cases,Win_Rate
branch austin mccormick llp,0,0,1,0,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/109.html']},
human rights commission,0,0,36,0,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/935.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/29.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1127.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1308.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1426.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/504.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1395.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1735.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1724.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/692.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/5.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1239.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/9.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/615.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/445.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/37.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/542.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/109.html']}",
equality,0,0,34,0,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/935.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/29.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1127.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1308.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1426.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/504.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1395.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1735.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1724.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/692.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/5.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/9.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/615.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/445.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/37.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/542.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/109.html']}",
brabners llp,2,2,0,2,2,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/806.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1067.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/141.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/113.html']}",50.0
his majesty's revenue & customs solicitor's office,1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/113.html']},100.0
pinna goldberg,0,1,0,1,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/108.html']},0.0
stephenson harwood llp,18,24,0,19,23,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/1004.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/401.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1145.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1144.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/276.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/708.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1064.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/119.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/808.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/227.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/18.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/254.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/335.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/2069.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1720.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1618.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/899.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2694.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2256.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1764.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/345.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/806.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1848.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/145.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/26.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/11.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/637.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1064.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/31.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1570.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1053.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/76.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1076.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/411.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1247.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/476.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/374.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/721.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1559.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1323.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/767.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/108.html']}",42.857142857142854
kirkland & ellis international llp,2,8,0,7,3,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1462.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1562.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1003.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/73.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/105.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/34.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/743.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1143.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1100.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/182.html']}",20.0
taylor wessing llp,12,10,0,6,16,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/57.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1185.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1248.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/324.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/74.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/80.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/12.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/2230.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/40.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/793.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1293.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1562.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/638.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/464.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/359.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/370.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/699.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/128.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/166.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/1100.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/562.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/182.html']}",54.54545454545454
pinsent masons llp,32,31,1,28,35,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/1167.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1107.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/713.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/712.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1908.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/779.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/326.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1007.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/990.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1092.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1314.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1296.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/773.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/403.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/936.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/77.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/2105.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/226.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/490.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/489.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2253.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/129.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1744.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1708.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1277.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/2256.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1599.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1127.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1610.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/793.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1207.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/805.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/503.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1521.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/320.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/38.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/43.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1858.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/680.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/136.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/827.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/844.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1834.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/234.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/781.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/359.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/699.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/852.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1520.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1617.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/422.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/370.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1665.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/880.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1306.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/813.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/92.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1049.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/1516.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1100.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/182.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/371.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/209.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/676.html']}",50.79365079365079
wilson solicitors llp,8,6,0,11,3,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/167.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1060.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/373.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/322.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/35.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/98.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1657.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1357.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/266.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/369.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/251.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/77.html']}",57.14285714285714
capsticks llp,8,3,0,1,10,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/203.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/151.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/257.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/325.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1412.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/646.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/46.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1523.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1416.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/888.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/185.html']}",72.72727272727273
we are advocate org,0,1,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/185.html']},0.0
simkins llp,1,1,0,2,0,"{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2025.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/66.html']}",50.0
keystone law llp,2,2,0,3,1,"{2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/599.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/714.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/641.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/66.html']}",50.0
tozers llp,0,3,0,1,2,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/381.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1037.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/346.html']}",0.0
curtis whiteford crocker,1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/346.html']},100.0
stone king llp,1,3,0,2,2,"{2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1706.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1927.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1053.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/147.html']}",25.0
david benson solicitors,2,0,0,1,1,"{2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1095.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/133.html']}",100.0
latham & watkins (london) llp,8,2,0,5,5,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1294.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1263.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1018.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/26.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/782.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/43.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/876.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/64.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/99.html']}",80.0
west sussex county council,0,1,0,1,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/132.html']},0.0
"danielle grinsted, good law solicitors llp",1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/132.html']},100.0
spearpoint franks solicitors ltd,1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/132.html']},100.0
disclosure and barring service,1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/191.html']},100.0
mccue & partners llp,1,0,0,1,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/177.html']},100.0
fieldfisher,3,2,0,2,3,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/319.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1312.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/326.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/495.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/171.html']}",60.0
gordons partnership,1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/171.html']},100.0
a&o shearman llp,0,1,0,1,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/209.html']},0.0
"government legal department, hogan lovells international llp",1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/209.html']},100.0
cms cameron mckenna nabarro olswang llp,13,15,5,11,17,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/2196.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1872.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/373.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1294.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1115.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2694.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1556.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/852.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/317.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1219.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/267.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/830.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/447.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/213.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1300.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/449.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/995.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1270.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/7.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/440.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/970.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/31.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/26.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/17.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1021.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/189.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/327.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/772.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/917.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/436.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/7.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/209.html']}",46.42857142857143
bmw group uk & ireland,0,1,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/356.html']},0.0
bc legal limited,0,1,0,1,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/292.html']},0.0
walker morris llp,9,8,1,8,9,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/1085.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1110.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/602.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/183.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1013.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/489.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/450.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1359.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/800.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1660.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1760.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/198.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/849.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1006.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/844.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1282.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/292.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/652.html']}",52.94117647058824
prosperity law llp,0,1,0,1,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/252.html']},0.0
thompson & co,0,1,0,1,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/353.html']},0.0
unison legal services,2,4,0,3,3,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/935.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1092.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1641.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/947.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/379.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/250.html']}",33.33333333333333
birketts llp,5,5,0,6,4,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/839.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1425.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/782.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2172.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/2175.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/87.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/32.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/660.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1716.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/203.html']}",50.0
brandsmiths,4,6,0,10,0,"{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/783.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/675.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/864.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/634.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/552.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/262.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/29.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/814.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/400.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/186.html']}",40.0
ward hadaway llp,2,0,0,0,2,"{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/269.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/186.html']}",100.0
hackett and dabbs llp,0,1,0,1,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/348.html']},0.0
morrison spowart solicitors,2,1,0,3,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/1501.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1624.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/277.html']}",66.66666666666666
local authority,2,1,0,2,1,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1695.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/572.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/277.html']}",66.66666666666666
keidan harrison llp,1,0,0,0,1,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/268.html']},100.0
bhatt murphy solicitors,2,5,0,5,2,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/686.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1074.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2092.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/515.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/229.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/226.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/226.html']}",28.57142857142857
